location;region;n;e
Abramowice;Małopolskie;49.8000;20.2000
Abramowice Kościelne;Lubelskie;51.2000;22.5833
Abramowice Prywatne;Lubelskie;51.2167;22.6000
Abramów;Lubelskie;51.4500;22.3167
Abramów;Lubelskie;51.0500;22.5333
Abramów;Lubelskie;50.7000;22.7000
Abramówka;Lubelskie;51.3167;23.1500
Abramy;Podlaskie;53.0090;21.8501
Achrymowce;Podlaskie;53.5333;23.5500
Adama;Świętokrzyskie;50.4167;20.2167
Adamczowice;Podkarpackie;50.6667;21.4833
Adamczycha;Mazowieckie;53.1167;21.2667
Adamek;Świętokrzyskie;51.0833;20.5167
Adamierz;Małopolskie;50.2000;20.9000
Adamierz;Wielkopolskie;52.1500;17.8000
Adaminowo;Kujawsko-Pomorskie;52.6000;19.2667
Adamkowa Rola;Śląskie;49.7667;19.6333
Adamkowo;Kujawsko-Pomorskie;53.5333;17.7000
Adamowa Góra;Kujawsko-Pomorskie;52.2667;20.2167
Adamowice;Kujawsko-Pomorskie;51.9500;20.4833
Adamowice;Śląskie;50.1333;18.3333
Adamowizna;Podlaskie;54.1833;23.1500
Adamowizna;Mazowieckie;52.0738;20.6315
Adamowo;Mazowieckie;52.9167;20.1833
Adamowo;Kujawsko-Pomorskie;53.4000;17.3167
Adamowo;Mazowieckie;53.1667;19.9167
Adamowo;Kujawsko-Pomorskie;52.9500;19.2833
Adamowo;Mazowieckie;52.9000;19.9000
Adamowo;Wielkopolskie;52.4500;18.0500
Adamowo;Lubuskie;52.1000;16.1500
Adamów;Mazowieckie;52.0225;20.5899
Adamów;Kujawsko-Pomorskie;51.9167;20.2333
Adamów;Kujawsko-Pomorskie;51.7833;20.0500
Adamów;Mazowieckie;51.7333;22.2667
Adamów;Mazowieckie;51.6333;21.3833
Adamów;Kujawsko-Pomorskie;51.3667;20.4167
Adamów;Lubelskie;51.2500;23.1167
Adamów;Kujawsko-Pomorskie;51.2000;20.1333
Adamów;Świętokrzyskie;51.0667;20.4333
Adamów;Świętokrzyskie;51.0333;21.4500
Adamów;Świętokrzyskie;51.0333;21.1667
Adamów;Lubelskie;50.6000;23.1667
Adamów;Mazowieckie;52.3500;19.6500
Adamów;Mazowieckie;52.2667;19.2833
Adamów;Wielkopolskie;52.2667;18.0833
Adamów;Kujawsko-Pomorskie;51.8667;19.0167
Adamów;Kujawsko-Pomorskie;51.8500;19.2500
Adamów;Kujawsko-Pomorskie;51.7667;19.7000
Adamów;Kujawsko-Pomorskie;51.6667;19.9667
Adamów;Kujawsko-Pomorskie;51.4167;19.3167
Adamów;Kujawsko-Pomorskie;51.1667;19.7500
Adamów;Kujawsko-Pomorskie;51.1000;19.2833
Adamów;Śląskie;50.8667;19.3333
Adamów Nowy;Kujawsko-Pomorskie;51.8333;19.2500
Adamów Stary;Kujawsko-Pomorskie;51.8333;19.2167
Adamówek;Mazowieckie;52.3667;20.7333
Adamówka;Lubelskie;51.5333;22.3333
Adamówka;Lubelskie;51.4000;21.9333
Adamówka;Lubelskie;50.9333;22.8167
Adamówka;Podkarpackie;50.2500;22.7000
Adamówka Powiśle;Lubelskie;51.4333;21.9333
Adampol;Mazowieckie;52.5167;21.5833
Adampol;Lubelskie;51.2167;22.7000
Adampol-Letnisko;Lubelskie;51.2000;22.6500
Adelin;Mazowieckie;52.5000;21.4500
Adelina;Lubelskie;51.1500;22.1500
Adelina;Lubelskie;50.6667;23.7833
Adelinów;Kujawsko-Pomorskie;51.2833;19.8667
Adolfin;Mazowieckie;51.4667;21.3833
Adolfin;Lubelskie;51.1833;23.3000
Adolfowo;Wielkopolskie;52.9667;17.0000
Adolfowo;Wielkopolskie;52.1167;16.2333
Adolfów;Mazowieckie;52.6500;22.3000
Agatówka;Podkarpackie;50.8333;22.0833
Agatówka;Podkarpackie;50.6000;22.0167
Agnieszezyn;Opolskie;50.3833;17.9000
Agnieszkowo;Mazowieckie;52.9167;19.5167
Agnieszków;Wielkopolskie;51.7500;18.3500
Agrafinówka;Podlaskie;54.1500;22.7500
Akacyjki;Wielkopolskie;51.5167;18.1667
Aksmanice;Podkarpackie;49.6667;22.7500
Akwizgran;Świętokrzyskie;50.9333;20.3833
Albertowsko;Wielkopolskie;52.2833;16.2167
Albertów;Lubelskie;51.3000;23.0500
Albertów;Wielkopolskie;52.0167;18.4167
Albertów;Kujawsko-Pomorskie;51.8000;19.1833
Albertów;Śląskie;51.0333;18.8333
Albigowa;Podkarpackie;50.0167;22.2333
Albinow;Dolnośląskie;50.7833;16.6833
Albinów;Lubelskie;50.7167;22.7333
Albinów;Kujawsko-Pomorskie;51.9667;19.8333
Aleksandria;Kujawsko-Pomorskie;51.9998;20.4325
Aleksandria;Wielkopolskie;51.6000;18.2333
Aleksandria Druga;Śląskie;50.7500;18.9500
Aleksandria Pierwsza;Śląskie;50.7667;18.9833
Aleksandrowice;Małopolskie;50.0833;19.7667
Aleksandrowice;Śląskie;49.8167;19.0167
Aleksandrowo;Podlaskie;54.1000;22.7833
Aleksandrowo;Podlaskie;53.3833;22.3000
Aleksandrowo;Mazowieckie;53.1667;21.4167
Aleksandrowo;Podlaskie;52.5667;22.8000
Aleksandrowo;Kujawsko-Pomorskie;53.2167;18.1333
Aleksandrowo;Mazowieckie;52.8833;19.9667
Aleksandrowo;Mazowieckie;52.6333;19.9000
Aleksandrowsk;Podlaskie;54.0833;23.1667
Aleksandrowska-Stawka;Lubelskie;51.2833;22.4167
Aleksandrów;Mazowieckie;52.4167;21.1500
Aleksandrów;Mazowieckie;52.3333;20.6333
Aleksandrów;Mazowieckie;52.3000;21.0333
Aleksandrów;Mazowieckie;52.2167;21.7333
Aleksandrów;Mazowieckie;52.1667;21.2500
Aleksandrów;Kujawsko-Pomorskie;52.1397;20.3218
Aleksandrów;Mazowieckie;51.9833;20.9500
Aleksandrów;Mazowieckie;51.9000;22.4667
Aleksandrów;Lubelskie;51.7833;23.3500
Aleksandrów;Mazowieckie;51.7833;21.3333
Aleksandrów;Mazowieckie;51.6000;20.8000
Aleksandrów;Mazowieckie;51.2167;20.7667
Aleksandrów;Mazowieckie;51.1667;21.5333
Aleksandrów;Mazowieckie;51.1167;21.3833
Aleksandrów;Mazowieckie;51.0833;21.6000
Aleksandrów;Podkarpackie;50.9333;21.9667
Aleksandrów;Lubelskie;50.4667;22.9167
Aleksandrów;Świętokrzyskie;50.4167;20.5000
Aleksandrów;Mazowieckie;52.3333;19.8500
Aleksandrów;Mazowieckie;52.3333;19.4167
Aleksandrów;Mazowieckie;52.3000;19.9500
Aleksandrów;Wielkopolskie;52.2500;18.9833
Aleksandrów;Wielkopolskie;52.0667;17.4000
Aleksandrów;Wielkopolskie;52.0167;18.6500
Aleksandrów;Wielkopolskie;51.9000;18.2333
Aleksandrów;Kujawsko-Pomorskie;51.2833;18.9000
Aleksandrów;Kujawsko-Pomorskie;51.2667;19.9833
Aleksandrów;Kujawsko-Pomorskie;51.2500;19.2667
Aleksandrów;Kujawsko-Pomorskie;51.2333;19.5000
Aleksandrów;Śląskie;51.1000;18.4833
Aleksandrów;Śląskie;50.9167;18.7333
Aleksandrów;Śląskie;50.7833;19.7667
Aleksandrów;Śląskie;50.7333;19.6833
Aleksandrów Kujawski;Kujawsko-Pomorskie;52.8667;18.7000
Aleksandrów Łódzki;Kujawsko-Pomorskie;51.8167;19.3000
Aleksandrów Mały;Świętokrzyskie;51.0167;21.4833
Aleksandrów Nowy;Mazowieckie;51.9333;20.7333
Aleksandrówek;Kujawsko-Pomorskie;51.5667;19.2000
Aleksandrówka;Podlaskie;54.2833;23.1167
Aleksandrówka;Mazowieckie;52.2000;21.4167
Aleksandrówka;Mazowieckie;51.9667;22.1167
Aleksandrówka;Mazowieckie;51.8500;20.7667
Aleksandrówka;Kujawsko-Pomorskie;51.7667;20.2833
Aleksandrówka;Mazowieckie;51.5833;21.5500
Aleksandrówka;Lubelskie;51.4833;22.4000
Aleksandrówka;Mazowieckie;51.4167;21.6333
Aleksandrówka;Lubelskie;51.3333;23.3500
Aleksandrówka;Lubelskie;51.1500;23.2667
Aleksandrówka;Lubelskie;51.0833;23.3500
Aleksandrówka;Podkarpackie;50.8667;22.4500
Aleksandrówka;Kujawsko-Pomorskie;51.1833;18.6667
Alfonsów;Kujawsko-Pomorskie;51.3333;20.1333
Alfredówka;Podkarpackie;50.4667;21.7500
Alinowo;Wielkopolskie;52.4000;18.1500
Alojzów;Mazowieckie;51.2333;21.2667
Alojzów;Lubelskie;50.9833;23.5500
Altanka;Kujawsko-Pomorskie;52.2667;20.2333
Alwernia;Małopolskie;50.0667;19.5333
Ambrożew;Mazowieckie;52.0167;19.3167
Ambukow;Lubelskie;50.7667;23.9667
Amelin;Mazowieckie;53.0667;21.2500
Amelin;Lubelskie;51.6333;22.6833
Amelin;Lubelskie;51.4333;22.3667
Amelin;Kujawsko-Pomorskie;51.0667;19.5167
Ameryka;Opolskie;50.7833;17.8667
Ameryka;Śląskie;50.1667;18.6833
Anajewo;Mazowieckie;52.5167;19.4333
Anastazew;Mazowieckie;52.5333;21.4667
Anastazew;Kujawsko-Pomorskie;51.9000;19.2000
Anastazewo;Wielkopolskie;52.4667;18.0333
Anastazów;Kujawsko-Pomorskie;51.4167;19.3333
Anatolin;Mazowieckie;52.3167;19.7667
Ancuty;Podlaskie;52.9333;23.4833
Andrespol;Kujawsko-Pomorskie;51.7333;19.6500
Andruszkowice;Podkarpackie;50.6667;21.7000
Andrychów;Śląskie;49.8500;19.3500
Andrychy;Podlaskie;53.5333;22.1500
Andryjanki;Podlaskie;52.6167;23.0000
Andrzejewo;Podlaskie;54.2833;23.0833
Andrzejewo;Podlaskie;52.8500;22.1667
Andrzejewo;Warmińsko-Mazurskie;53.9167;19.2833
Andrzejewo;Wielkopolskie;52.3833;17.9667
Andrzejki;Podlaskie;53.1167;22.0000
Andrzejów;Lubelskie;51.8167;22.4333
Andrzejów;Lubelskie;51.3833;23.2167
andrzejów;Mazowieckie;51.3000;21.7667
Andrzejów;Lubelskie;51.0833;23.6833
Andrzejów;Podkarpackie;50.7667;22.4333
Andrzejów;Kujawsko-Pomorskie;51.7333;19.6833
Andrzejów;Wielkopolskie;51.2000;18.2333
Andrzejówka;Mazowieckie;51.4167;21.6167
Andrzejówka;Lubelskie;50.6500;23.8500
Andrzejówka;Lubelskie;50.6000;22.6167
Andrzejówka;Małopolskie;49.3500;20.8167
Andziełówka;Śląskie;49.5833;18.9167
Andzin;Mazowieckie;52.5833;20.6833
Anglity;Warmińsko-Mazurskie;54.1000;19.7500
Angowice;Kujawsko-Pomorskie;53.6667;17.5667
Anielew;Wielkopolskie;52.2833;18.3167
Anielewo;Wielkopolskie;52.3167;18.0833
Anielewo;Wielkopolskie;52.1000;17.8167
Anielin;Mazowieckie;51.8333;20.8500
Anielin;Mazowieckie;51.7833;21.2833
Anielin;Kujawsko-Pomorskie;51.5333;20.3167
Anielin;Mazowieckie;51.4667;21.5667
Anielin;Lubelskie;51.4167;21.8333
Anielin;Mazowieckie;51.2500;21.3167
Anielin;Podkarpackie;50.9333;21.9167
Anielin;Kujawsko-Pomorskie;52.4500;18.9167
Anielin;Mazowieckie;52.3833;19.3000
Anielin;Mazowieckie;52.3667;19.4667
Anielin;Kujawsko-Pomorskie;51.9167;19.5500
Anielin;Kujawsko-Pomorskie;51.6333;19.1333
Anielin Kepa;Mazowieckie;51.7833;21.2833
Anielina;Mazowieckie;52.1667;21.5833
Anielinek;Mazowieckie;52.2167;21.6333
Anielin-Kazimierzów;Kujawsko-Pomorskie;51.8667;19.6667
Anieliny;Kujawsko-Pomorskie;53.1333;17.5000
Anielów;Mazowieckie;51.7833;21.7833
Anielpol;Lubelskie;50.9000;23.3333
Anin;Mazowieckie;52.2333;21.1667
Anio łowo;Warmińsko-Mazurskie;54.1333;19.6000
Ankamaty;Warmińsko-Mazurskie;53.9333;19.2833
Annapol;Wielkopolskie;51.9833;17.5333
Annobór;Lubelskie;51.4333;22.6000
Annogóra;Wielkopolskie;52.7500;16.5000
Annolesie;Kujawsko-Pomorskie;51.3000;18.9167
Annolesie;Śląskie;51.0500;18.9500
Annopol;Mazowieckie;52.4333;21.7000
Annopol;Mazowieckie;52.3000;21.0167
Annopol;Kujawsko-Pomorskie;51.8333;20.5833
Annopol;Kujawsko-Pomorskie;51.6833;20.1000
Annopol;Lubelskie;51.6667;22.3667
Annopol;Lubelskie;50.9000;23.8833
Annopol;Podkarpackie;50.8833;21.8500
Annopol;Mazowieckie;52.4167;19.6333
Annopol;Wielkopolskie;51.8667;18.3500
Annopol A;Kujawsko-Pomorskie;51.6833;20.1167
Annopol B;Kujawsko-Pomorskie;51.6667;20.1000
Annopole;Wielkopolskie;52.2167;17.2167
Annopole;Kujawsko-Pomorskie;51.6667;18.8500
Annosław;Kujawsko-Pomorskie;51.7667;20.4333
Annowka;Wielkopolskie;51.9833;18.2333
Annowo;Podlaskie;54.1833;23.1167
Annowo;Kujawsko-Pomorskie;52.8167;17.8667
Annów;Kujawsko-Pomorskie;51.6500;20.1833
Annów;Lubelskie;50.9333;22.5000
Annówka;Lubelskie;51.6667;22.4667
Anonin;Mazowieckie;51.9000;22.2167
Antolin;Lubelskie;52.2559;23.1506
Antolin;Podkarpackie;50.8000;22.4500
Antolin;Kujawsko-Pomorskie;51.6000;19.9333
Antolka;Świętokrzyskie;50.4000;20.1000
Antomieszki;Podlaskie;54.3167;22.0000
Antonia;Mazowieckie;53.4667;21.4500
Antonia;Mazowieckie;53.4500;21.5333
Antonie;Mazowieckie;53.1333;21.5333
Antonie;Śląskie;51.1000;18.9500
Antonielów;Świętokrzyskie;50.9500;20.1833
Antonielów;Kujawsko-Pomorskie;51.2333;19.7167
Antoniew;Kujawsko-Pomorskie;52.2000;20.1667
Antoniew;Mazowieckie;52.2167;19.3667
Antoniew;Mazowieckie;52.1667;19.6667
Antoniew;Kujawsko-Pomorskie;51.9333;19.1000
Antoniew;Kujawsko-Pomorskie;51.7833;19.3667
Antoniew;Wielkopolskie;51.4667;17.8167
Antoniew;Kujawsko-Pomorskie;52.0374;20.3304
Antoniew Sikawa;Kujawsko-Pomorskie;51.8000;19.5167
